Level,District Code,District Name,School Name,Test,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate,Total Score Mean Score,Total Score Standard Deviation,Evidence-Based Reading & Writing Mean Score,Evidence-Based Reading & Writing Standard Deviation,Mathematics Mean Score,Mathematics Standard Deviation,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score
DISTRICT,0510,KIT CARSON R-1,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0510,KIT CARSON R-1,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0510,KIT CARSON R-1,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0520,CHEYENNE COUNTY RE-5,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0520,CHEYENNE COUNTY RE-5,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0520,CHEYENNE COUNTY RE-5,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0540,CLEAR CREEK RE-1,All Schools,PSAT,09,      57,      57,       0,100.0,897,121,467,66,430,68,901,455,446,-4,12,-16
DISTRICT,0540,CLEAR CREEK RE-1,All Schools,PSAT,10,      51,      50,       1,98.0,936,148,486,84,450,76,926,470,456,10,16,-6
DISTRICT,0540,CLEAR CREEK RE-1,All Schools,SAT,11,      52,      51,       1,98.1,974,174,505,88,469,102,1068,544,525,-94,-39,-56
DISTRICT,0550,NORTH CONEJOS RE-1J,All Schools,PSAT,09,      82,      81,       1,98.8,833,162,430,93,403,84,895,449,446,-62,-19,-43
DISTRICT,0550,NORTH CONEJOS RE-1J,All Schools,PSAT,10,      83,      81,       2,97.6,900,167,456,86,444,88,945,468,477,-45,-12,-33
DISTRICT,0550,NORTH CONEJOS RE-1J,All Schools,SAT,11,      76,      69,       7,90.8,974,171,481,84,493,96,994,494,500,-20,-13,-7
DISTRICT,0560,SANFORD 6J,All Schools,PSAT,09,      26,      26,       0,100.0,894,164,452,89,442,87,- -,- -,- -,- -,- -,- -
DISTRICT,0560,SANFORD 6J,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,970,492,478,- -,- -,- -
