Level,District Code,District Name,School Name,Test,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate,Total Score Mean Score,Total Score Standard Deviation,Evidence-Based Reading & Writing Mean Score,Evidence-Based Reading & Writing Standard Deviation,Mathematics Mean Score,Mathematics Standard Deviation,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score
SCHOOL,2000,MESA COUNTY VALLEY 51,PALISADE HIGH SCHOOL,PSAT,09,     261,     246,      15,94.3,885,183,444,93,441,99,867,436,431,18,8,10
SCHOOL,2000,MESA COUNTY VALLEY 51,PALISADE HIGH SCHOOL,PSAT,10,     268,     254,      14,94.8,900,179,451,99,450,89,943,471,471,-43,-20,-21
SCHOOL,2000,MESA COUNTY VALLEY 51,PALISADE HIGH SCHOOL,SAT,11,     233,     219,      14,94.0,998,200,499,97,499,110,991,500,490,7,-1,9
SCHOOL,2000,MESA COUNTY VALLEY 51,R-5 HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA,NA
SCHOOL,2000,MESA COUNTY VALLEY 51,R-5 HIGH SCHOOL,PSAT,10,      28,      26,       2,92.9,782,103,398,67,385,49,716,369,347,66,29,38
SCHOOL,2000,MESA COUNTY VALLEY 51,R-5 HIGH SCHOOL,SAT,11,      65,      53,      12,81.5,792,123,405,72,387,64,816,416,400,-24,-11,-13
SCHOOL,2010,CREEDE SCHOOL DISTRICT,CREEDE SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2010,CREEDE SCHOOL DISTRICT,CREEDE SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2010,CREEDE SCHOOL DISTRICT,CREEDE SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2020,MOFFAT COUNTY RE:NO 1,MOFFAT COUNTY HIGH SCHOOL,PSAT,09,     166,     160,       6,96.4,819,144,423,73,396,81,856,432,424,-37,-9,-28
SCHOOL,2020,MOFFAT COUNTY RE:NO 1,MOFFAT COUNTY HIGH SCHOOL,PSAT,10,     149,     136,      13,91.3,868,124,440,77,428,56,863,441,422,5,-1,6
SCHOOL,2020,MOFFAT COUNTY RE:NO 1,MOFFAT COUNTY HIGH SCHOOL,SAT,11,     118,     105,      13,89.0,900,144,459,79,441,77,931,480,451,-31,-21,-10
SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,MONTEZUMA-CORTEZ HIGH SCHOOL,PSAT,09,     159,     154,       5,96.9,824,157,420,87,405,82,798,402,397,26,18,8
SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,MONTEZUMA-CORTEZ HIGH SCHOOL,PSAT,10,     139,     135,       4,97.1,839,161,426,89,413,81,857,434,423,-18,-8,-10
SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,MONTEZUMA-CORTEZ HIGH SCHOOL,SAT,11,     172,     162,      10,94.2,933,177,475,93,458,94,937,478,459,-4,-3,-1
SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,SOUTHWEST OPEN CHARTER SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,774,404,370,- -,- -,- -
SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,SOUTHWEST OPEN CHARTER SCHOOL,PSAT,10,      45,      42,       3,93.3,775,139,398,89,377,60,- -,- -,- -,- -,- -,- -
SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,SOUTHWEST OPEN CHARTER SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,845,436,409,- -,- -,- -
SCHOOL,2055,DOLORES RE-4A,DOLORES SECONDARY SCHOOL,PSAT,09,      47,      46,       1,97.9,875,143,440,80,435,76,882,454,428,-7,-14,7
SCHOOL,2055,DOLORES RE-4A,DOLORES SECONDARY SCHOOL,PSAT,10,      37,      34,       3,91.9,931,158,476,101,456,68,879,450,429,52,26,27
SCHOOL,2055,DOLORES RE-4A,DOLORES SECONDARY SCHOOL,SAT,11,      33,      32,       1,97.0,949,174,482,106,467,82,960,489,471,-11,-7,-4
SCHOOL,2070,MANCOS RE-6,MANCOS HIGH SCHOOL,PSAT,09,      36,      36,       0,100.0,861,157,437,88,424,77,873,445,427,-12,-8,-3
SCHOOL,2070,MANCOS RE-6,MANCOS HIGH SCHOOL,PSAT,10,      32,      30,       2,93.8,882,121,440,77,442,57,933,466,467,-51,-26,-25
SCHOOL,2070,MANCOS RE-6,MANCOS HIGH SCHOOL,SAT,11,      31,      31,       0,100.0,966,203,497,108,469,105,944,478,466,22,19,3
SCHOOL,2180,MONTROSE COUNTY RE-1J,MONTROSE HIGH SCHOOL,PSAT,09,     346,     336,      10,97.1,890,152,449,87,441,74,897,452,445,-7,-3,-4
SCHOOL,2180,MONTROSE COUNTY RE-1J,MONTROSE HIGH SCHOOL,PSAT,10,     299,     293,       6,98.0,939,171,475,98,464,82,939,473,466,0,2,-2
SCHOOL,2180,MONTROSE COUNTY RE-1J,MONTROSE HIGH SCHOOL,SAT,11,     292,     289,       3,99.0,988,171,501,90,487,91,989,501,488,-1,0,-1
SCHOOL,2180,MONTROSE COUNTY RE-1J,PEAK VIRTUAL ACADEMY,PSAT,09,      25,      25,       0,100.0,- -,- -,- -,- -,- -,- -,927,468,459,- -,- -,- -
SCHOOL,2180,MONTROSE COUNTY RE-1J,PEAK VIRTUAL ACADEMY,PSAT,10,      20,      20,       0,100.0,962,147,492,87,470,80,- -,- -,- -,- -,- -,- -
SCHOOL,2180,MONTROSE COUNTY RE-1J,PEAK VIRTUAL ACADEMY,SAT,11,      18,      18,       0,100.0,981,152,501,76,479,88,1055,546,509,-74,-45,-30
SCHOOL,2180,MONTROSE COUNTY RE-1J,OLATHE HIGH SCHOOL,PSAT,09,      62,      61,       1,98.4,862,129,429,66,434,77,802,410,392,60,19,42
SCHOOL,2180,MONTROSE COUNTY RE-1J,OLATHE HIGH SCHOOL,PSAT,10,      73,      71,       2,97.3,864,145,436,83,428,72,823,412,411,41,24,17
SCHOOL,2180,MONTROSE COUNTY RE-1J,OLATHE HIGH SCHOOL,SAT,11,      64,      62,       2,96.9,866,130,436,62,430,75,933,464,469,-67,-28,-39
SCHOOL,2180,MONTROSE COUNTY RE-1J,VISTA CHARTER SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA,NA
SCHOOL,2180,MONTROSE COUNTY RE-1J,VISTA CHARTER SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,755,390,365,- -,- -,- -
SCHOOL,2180,MONTROSE COUNTY RE-1J,VISTA CHARTER SCHOOL,SAT,11,      80,      51,      29,63.7,837,100,425,57,412,62,832,423,409,5,2,3
SCHOOL,2190,WEST END RE-2,NUCLA HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,884,461,424,- -,- -,- -
SCHOOL,2190,WEST END RE-2,NUCLA HIGH SCHOOL,PSAT,10,      19,      19,       0,100.0,867,160,445,110,422,57,- -,- -,- -,- -,- -,- -
SCHOOL,2190,WEST END RE-2,NUCLA HIGH SCHOOL,SAT,11,      17,      17,       0,100.0,866,99,438,59,428,53,- -,- -,- -,- -,- -,- -
SCHOOL,2190,WEST END RE-2,PARADOX VALLEY CHARTER SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2190,WEST END RE-2,PARADOX VALLEY CHARTER SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2395,BRUSH RE-2(J),BRUSH HIGH SCHOOL,PSAT,09,      96,      96,       0,100.0,859,159,429,81,430,86,852,422,429,7,7,1
SCHOOL,2395,BRUSH RE-2(J),BRUSH HIGH SCHOOL,PSAT,10,      94,      94,       0,100.0,881,142,444,88,437,63,877,438,440,4,6,-3
SCHOOL,2395,BRUSH RE-2(J),BRUSH HIGH SCHOOL,SAT,11,     105,     104,       1,99.0,926,175,464,92,462,94,965,476,489,-39,-12,-27
SCHOOL,2405,FORT MORGAN RE-3,FORT MORGAN HIGH SCHOOL,PSAT,09,     268,     237,      31,88.4,811,143,412,79,399,76,859,435,424,-48,-23,-25
SCHOOL,2405,FORT MORGAN RE-3,FORT MORGAN HIGH SCHOOL,PSAT,10,     214,     208,       6,97.2,873,139,442,81,431,70,868,439,429,5,3,2
SCHOOL,2405,FORT MORGAN RE-3,FORT MORGAN HIGH SCHOOL,SAT,11,     212,     206,       6,97.2,893,173,450,84,443,99,918,467,451,-25,-17,-8
SCHOOL,2405,FORT MORGAN RE-3,LINCOLN HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2405,FORT MORGAN RE-3,LINCOLN HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2405,FORT MORGAN RE-3,LINCOLN HIGH SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,803,411,392,- -,- -,- -
SCHOOL,2505,WELDON VALLEY RE-20(J),WELDON VALLEY JR/SR HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2505,WELDON VALLEY RE-20(J),WELDON VALLEY JR/SR HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,863,440,423,- -,- -,- -
SCHOOL,2505,WELDON VALLEY RE-20(J),WELDON VALLEY JR/SR HIGH SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,925,478,447,- -,- -,- -
SCHOOL,2515,WIGGINS RE-50(J),WIGGINS HIGH SCHOOL,PSAT,09,      50,      50,       0,100.0,902,143,457,82,445,73,862,437,425,40,20,20
SCHOOL,2515,WIGGINS RE-50(J),WIGGINS HIGH SCHOOL,PSAT,10,      47,      47,       0,100.0,856,142,439,94,417,57,888,452,436,-32,-13,-19
SCHOOL,2515,WIGGINS RE-50(J),WIGGINS HIGH SCHOOL,SAT,11,      29,      28,       1,96.6,934,129,478,69,456,68,979,508,471,-45,-30,-15
SCHOOL,2520,EAST OTERO R-1,LA JUNTA JR/SR HIGH SCHOOL,PSAT,09,     112,     108,       4,96.4,817,143,415,73,402,80,819,417,402,-2,-2,0
SCHOOL,2520,EAST OTERO R-1,LA JUNTA JR/SR HIGH SCHOOL,PSAT,10,      93,      92,       1,98.9,880,158,451,91,429,74,875,446,429,5,5,0
SCHOOL,2520,EAST OTERO R-1,LA JUNTA JR/SR HIGH SCHOOL,SAT,11,      94,      93,       1,98.9,893,153,454,78,439,87,928,471,457,-35,-17,-18
SCHOOL,2530,ROCKY FORD R-2,ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,PSAT,09,      61,      61,       0,100.0,848,146,439,81,409,77,842,431,410,6,8,-1
SCHOOL,2530,ROCKY FORD R-2,ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,PSAT,10,      54,      54,       0,100.0,869,131,444,81,426,60,875,451,424,-6,-7,2
SCHOOL,2530,ROCKY FORD R-2,ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,SAT,11,      44,      43,       1,97.7,914,136,476,81,438,67,946,493,453,-32,-17,-15
SCHOOL,2535,MANZANOLA 3J,MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2535,MANZANOLA 3J,MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2535,MANZANOLA 3J,MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2540,FOWLER R-4J,FOWLER HIGH SCHOOL,PSAT,09,      31,      31,       0,100.0,898,117,447,70,450,62,916,452,464,-18,-5,-14
SCHOOL,2540,FOWLER R-4J,FOWLER HIGH SCHOOL,PSAT,10,      28,      28,       0,100.0,926,176,465,105,461,78,935,468,467,-9,-3,-6
SCHOOL,2540,FOWLER R-4J,FOWLER HIGH SCHOOL,SAT,11,      21,      21,       0,100.0,978,169,485,80,493,97,1023,515,508,-45,-30,-15
SCHOOL,2560,CHERAW 31,CHERAW SCHOOL,PSAT,09,      19,      19,       0,100.0,857,93,427,53,430,50,- -,- -,- -,- -,- -,- -
SCHOOL,2560,CHERAW 31,CHERAW SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2560,CHERAW 31,CHERAW SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2570,SWINK 33,SWINK JUNIOR-SENIOR HIGH SCHOOL,PSAT,09,      24,      24,       0,100.0,859,183,450,102,409,88,903,465,437,-44,-15,-28
SCHOOL,2570,SWINK 33,SWINK JUNIOR-SENIOR HIGH SCHOOL,PSAT,10,      32,      31,       1,96.9,944,142,486,91,458,63,899,457,441,45,29,17
SCHOOL,2570,SWINK 33,SWINK JUNIOR-SENIOR HIGH SCHOOL,SAT,11,      20,      20,       0,100.0,985,159,507,74,478,94,1022,512,510,-37,-5,-32
SCHOOL,2580,OURAY R-1,OURAY SENIOR HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2580,OURAY R-1,OURAY SENIOR HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2580,OURAY R-1,OURAY SENIOR HIGH SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,1123,553,571,- -,- -,- -
SCHOOL,2590,RIDGWAY R-2,RIDGWAY HIGH SCHOOL,PSAT,09,      23,      23,       0,100.0,926,146,480,88,446,76,994,510,484,-68,-30,-38
SCHOOL,2590,RIDGWAY R-2,RIDGWAY HIGH SCHOOL,PSAT,10,      27,      27,       0,100.0,1047,182,540,102,507,90,1030,540,490,17,0,17
SCHOOL,2590,RIDGWAY R-2,RIDGWAY HIGH SCHOOL,SAT,11,      27,      26,       1,96.3,1079,188,557,96,522,102,1097,570,526,-18,-13,-4
SCHOOL,2600,PLATTE CANYON 1,PLATTE CANYON HIGH SCHOOL,PSAT,09,      57,      56,       1,98.2,946,157,481,90,465,76,953,485,469,-7,-4,-4
SCHOOL,2600,PLATTE CANYON 1,PLATTE CANYON HIGH SCHOOL,PSAT,10,      48,      47,       1,97.9,977,184,502,105,476,93,1015,514,501,-38,-12,-25
SCHOOL,2600,PLATTE CANYON 1,PLATTE CANYON HIGH SCHOOL,SAT,11,      57,      57,       0,100.0,1043,190,535,98,508,103,992,508,484,51,27,24
SCHOOL,2610,PARK COUNTY RE-2,SOUTH PARK HIGH SCHOOL,PSAT,09,      31,      30,       1,96.8,878,135,457,78,422,67,868,443,425,10,14,-3
SCHOOL,2610,PARK COUNTY RE-2,SOUTH PARK HIGH SCHOOL,PSAT,10,      35,      34,       1,97.1,922,162,466,87,456,82,904,447,457,18,19,-1
SCHOOL,2610,PARK COUNTY RE-2,SOUTH PARK HIGH SCHOOL,SAT,11,      25,      23,       2,92.0,925,197,460,90,465,117,973,494,479,-48,-34,-14
SCHOOL,2620,HOLYOKE RE-1J,HOLYOKE ALTERNATIVE SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2620,HOLYOKE RE-1J,HOLYOKE ALTERNATIVE SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2620,HOLYOKE RE-1J,HOLYOKE SENIOR HIGH SCHOOL,PSAT,09,      50,      48,       2,96.0,893,167,462,100,431,76,- -,- -,- -,- -,- -,- -
SCHOOL,2620,HOLYOKE RE-1J,HOLYOKE SENIOR HIGH SCHOOL,PSAT,10,      35,      31,       4,88.6,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2620,HOLYOKE RE-1J,HOLYOKE SENIOR HIGH SCHOOL,SAT,11,      41,      40,       1,97.6,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2630,HAXTUN RE-2J,HAXTUN HIGH SCHOOL,PSAT,09,      30,      19,      11,63.3,934,159,474,88,461,79,874,458,416,60,16,45
SCHOOL,2630,HAXTUN RE-2J,HAXTUN HIGH SCHOOL,PSAT,10,      20,      20,       0,100.0,915,101,473,71,442,48,- -,- -,- -,- -,- -,- -
SCHOOL,2630,HAXTUN RE-2J,HAXTUN HIGH SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,998,499,500,- -,- -,- -
SCHOOL,2640,ASPEN 1,ASPEN HIGH SCHOOL,PSAT,09,     155,     145,      10,93.5,976,131,493,75,483,72,992,510,482,-16,-17,1
SCHOOL,2640,ASPEN 1,ASPEN HIGH SCHOOL,PSAT,10,     128,     118,      10,92.2,1041,179,536,94,505,97,1015,516,499,26,20,6
SCHOOL,2640,ASPEN 1,ASPEN HIGH SCHOOL,SAT,11,     141,     119,      22,84.4,1089,172,542,84,547,99,1134,570,563,-45,-28,-16
SCHOOL,2650,GRANADA RE-1,GRANADA UNDIVIDED HIGH SCHOOL,PSAT,09,      17,      17,       0,100.0,857,123,439,67,418,65,- -,- -,- -,- -,- -,- -
SCHOOL,2650,GRANADA RE-1,GRANADA UNDIVIDED HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2650,GRANADA RE-1,GRANADA UNDIVIDED HIGH SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2660,LAMAR RE-2,LAMAR HIGH SCHOOL,PSAT,09,     109,     109,       0,100.0,852,161,425,81,426,87,847,423,424,5,2,2
SCHOOL,2660,LAMAR RE-2,LAMAR HIGH SCHOOL,PSAT,10,     116,     113,       3,97.4,848,140,428,83,420,69,887,447,440,-39,-19,-20
SCHOOL,2660,LAMAR RE-2,LAMAR HIGH SCHOOL,SAT,11,      99,      94,       5,94.9,926,175,467,94,459,90,877,446,432,49,21,27
SCHOOL,2670,HOLLY RE-3,HOLLY HIGH SCHOOL,PSAT,09,      30,      30,       0,100.0,841,130,433,75,408,65,856,435,421,-15,-2,-13
SCHOOL,2670,HOLLY RE-3,HOLLY HIGH SCHOOL,PSAT,10,      25,      25,       0,100.0,877,125,436,79,441,55,916,463,453,-39,-27,-12
SCHOOL,2670,HOLLY RE-3,HOLLY HIGH SCHOOL,SAT,11,      18,      17,       1,94.4,931,138,454,78,477,77,1019,497,522,-88,-43,-45
SCHOOL,2680,WILEY RE-13 JT,WILEY JUNIOR-SENIOR HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,892,441,451,- -,- -,- -
SCHOOL,2680,WILEY RE-13 JT,WILEY JUNIOR-SENIOR HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2680,WILEY RE-13 JT,WILEY JUNIOR-SENIOR HIGH SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,940,482,458,- -,- -,- -
SCHOOL,2690,PUEBLO CITY 60,CENTENNIAL HIGH SCHOOL,PSAT,09,     239,     226,      13,94.6,831,156,425,83,406,82,855,441,415,-24,-16,-9
SCHOOL,2690,PUEBLO CITY 60,CENTENNIAL HIGH SCHOOL,PSAT,10,     286,     248,      38,86.7,873,175,446,95,426,89,892,456,436,-19,-10,-10
SCHOOL,2690,PUEBLO CITY 60,CENTENNIAL HIGH SCHOOL,SAT,11,     224,     208,      16,92.9,945,176,478,92,467,96,954,491,462,-9,-13,5
SCHOOL,2690,PUEBLO CITY 60,CENTRAL HIGH SCHOOL,PSAT,09,     190,     180,      10,94.7,810,138,416,74,393,75,805,415,390,5,1,3
SCHOOL,2690,PUEBLO CITY 60,CENTRAL HIGH SCHOOL,PSAT,10,     172,     159,      13,92.4,831,123,428,76,403,57,840,434,406,-9,-6,-3
SCHOOL,2690,PUEBLO CITY 60,CENTRAL HIGH SCHOOL,SAT,11,     195,     189,       6,96.9,879,141,452,76,427,77,864,441,423,15,11,4
SCHOOL,2690,PUEBLO CITY 60,CHAVEZ/HUERTA K-12 PREPARATORY ACADEMY,PSAT,09,      61,      61,       0,100.0,809,108,420,63,389,58,827,421,406,-18,-1,-17
SCHOOL,2690,PUEBLO CITY 60,CHAVEZ/HUERTA K-12 PREPARATORY ACADEMY,PSAT,10,      47,      46,       1,97.9,860,142,436,83,424,66,910,465,445,-50,-29,-21
SCHOOL,2690,PUEBLO CITY 60,CHAVEZ/HUERTA K-12 PREPARATORY ACADEMY,SAT,11,      49,      49,       0,100.0,939,151,471,77,468,85,948,480,468,-9,-9,0
SCHOOL,2690,PUEBLO CITY 60,EAST HIGH SCHOOL,PSAT,09,     263,     211,      52,80.2,807,133,411,74,397,69,790,402,388,17,9,9
SCHOOL,2690,PUEBLO CITY 60,EAST HIGH SCHOOL,PSAT,10,     214,     157,      57,73.4,831,146,424,85,407,70,863,441,421,-32,-17,-14
SCHOOL,2690,PUEBLO CITY 60,EAST HIGH SCHOOL,SAT,11,     222,     191,      31,86.0,915,158,467,83,447,85,927,470,457,-12,-3,-10
SCHOOL,2690,PUEBLO CITY 60,PARAGON LEARNING CENTER,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2690,PUEBLO CITY 60,PARAGON LEARNING CENTER,PSAT,10,      36,      26,      10,72.2,762,99,380,63,382,49,821,419,403,-59,-39,-21
SCHOOL,2690,PUEBLO CITY 60,PARAGON LEARNING CENTER,SAT,11,      24,      20,       4,83.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2690,PUEBLO CITY 60,SOUTH HIGH SCHOOL,PSAT,09,     249,     243,       6,97.6,798,133,413,72,385,73,833,426,407,-35,-13,-22
SCHOOL,2690,PUEBLO CITY 60,SOUTH HIGH SCHOOL,PSAT,10,     238,     224,      14,94.1,864,125,442,75,422,60,870,446,424,-6,-4,-2
SCHOOL,2690,PUEBLO CITY 60,SOUTH HIGH SCHOOL,SAT,11,     200,     192,       8,96.0,929,154,479,79,450,86,941,481,460,-12,-2,-10
SCHOOL,2690,PUEBLO CITY 60,PUEBLO YOUTH SERVICE CENTER,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2690,PUEBLO CITY 60,PUEBLO YOUTH SERVICE CENTER,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2690,PUEBLO CITY 60,PUEBLO YOUTH SERVICE CENTER,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,2700,PUEBLO COUNTY 70,70 ONLINE,PSAT,09,      38,      33,       5,86.8,786,125,411,78,375,58,787,386,400,-1,25,-25
SCHOOL,2700,PUEBLO COUNTY 70,70 ONLINE,PSAT,10,      55,      54,       1,98.2,779,106,392,63,387,54,806,420,386,-27,-28,1
SCHOOL,2700,PUEBLO COUNTY 70,70 ONLINE,SAT,11,      37,      36,       1,97.3,841,131,438,78,403,63,823,425,398,18,13,5
SCHOOL,2700,PUEBLO COUNTY 70,PUEBLO COUNTY HIGH SCHOOL,PSAT,09,     291,     290,       1,99.7,881,157,450,87,431,80,864,443,421,17,7,10
SCHOOL,2700,PUEBLO COUNTY 70,PUEBLO COUNTY HIGH SCHOOL,PSAT,10,     260,     260,       0,100.0,884,148,449,86,434,71,907,455,452,-23,-6,-18
SCHOOL,2700,PUEBLO COUNTY 70,PUEBLO COUNTY HIGH SCHOOL,SAT,11,     226,     222,       4,98.2,952,177,477,88,476,100,991,500,491,-39,-23,-15
SCHOOL,2700,PUEBLO COUNTY 70,PUEBLO WEST HIGH SCHOOL,PSAT,09,     348,     338,      10,97.1,882,144,448,78,435,77,881,449,431,1,-1,4
SCHOOL,2700,PUEBLO COUNTY 70,PUEBLO WEST HIGH SCHOOL,PSAT,10,     348,     339,       9,97.4,911,153,468,90,443,75,923,472,451,-12,-4,-8
SCHOOL,2700,PUEBLO COUNTY 70,PUEBLO WEST HIGH SCHOOL,SAT,11,     317,     316,       1,99.7,955,160,488,85,467,86,978,501,478,-23,-13,-11
SCHOOL,2700,PUEBLO COUNTY 70,RYE HIGH SCHOOL,PSAT,09,      60,      60,       0,100.0,915,150,460,84,455,72,878,432,446,37,28,9
SCHOOL,2700,PUEBLO COUNTY 70,RYE HIGH SCHOOL,PSAT,10,      46,      45,       1,97.8,930,137,452,68,478,79,1005,495,510,-75,-43,-32
SCHOOL,2700,PUEBLO COUNTY 70,RYE HIGH SCHOOL,SAT,11,      46,      46,       0,100.0,1063,208,532,103,531,118,1090,547,544,-27,-15,-13
SCHOOL,2700,PUEBLO COUNTY 70,SWALLOWS CHARTER ACADEMY HIGH SCHOOL,PSAT,09,      44,      44,       0,100.0,965,135,503,72,463,74,921,475,446,44,28,17
SCHOOL,2700,PUEBLO COUNTY 70,SWALLOWS CHARTER ACADEMY HIGH SCHOOL,PSAT,10,      29,      29,       0,100.0,964,174,488,98,476,89,952,498,454,12,-10,22
SCHOOL,2700,PUEBLO COUNTY 70,SWALLOWS CHARTER ACADEMY HIGH SCHOOL,SAT,11,      33,      32,       1,97.0,955,131,487,76,469,66,1037,540,497,-82,-53,-28
SCHOOL,2710,MEEKER RE1,MEEKER HIGH SCHOOL,PSAT,09,      56,      56,       0,100.0,954,134,460,76,495,72,950,467,483,4,-7,12
SCHOOL,2710,MEEKER RE1,MEEKER HIGH SCHOOL,PSAT,10,      45,      45,       0,100.0,941,132,462,76,479,65,975,476,499,-34,-14,-20
SCHOOL,2710,MEEKER RE1,MEEKER HIGH SCHOOL,SAT,11,      43,      42,       1,97.7,1029,159,504,90,525,77,1010,498,512,19,6,13
SCHOOL,2720,RANGELY RE-4,RANGELY JUNIOR/SENIOR HIGH SCHOOL,PSAT,09,      35,      35,       0,100.0,850,180,435,95,415,90,834,418,416,16,17,-1
SCHOOL,2720,RANGELY RE-4,RANGELY JUNIOR/SENIOR HIGH SCHOOL,PSAT,10,      23,      22,       1,95.7,855,131,425,76,430,64,938,477,460,-83,-52,-30
SCHOOL,2720,RANGELY RE-4,RANGELY JUNIOR/SENIOR HIGH SCHOOL,SAT,11,      24,      23,       1,95.8,991,126,496,79,495,61,975,500,476,16,-4,19
