district_name,total_student_count,participation_rate,total,evidence_based_reading_writing,math
DENVER COUNTY 1,64.0,96.9,845.0,421.0,424.0
DENVER COUNTY 1,21.0,90.5,809.0,415.0,394.0
DENVER COUNTY 1,216.0,95.4,912.0,464.0,448.0
DENVER COUNTY 1,69.0,98.6,849.0,425.0,424.0
DENVER COUNTY 1,186.0,96.8,993.0,507.0,487.0
DENVER COUNTY 1,61.0,82.0,1006.0,530.0,477.0
DENVER COUNTY 1,18.0,100.0,855.0,424.0,431.0
DENVER COUNTY 1,27.0,63.0,756.0,388.0,369.0
DENVER COUNTY 1,120.0,100.0,970.0,480.0,490.0
DENVER COUNTY 1,336.0,95.8,981.0,493.0,489.0
DENVER COUNTY 1,40.0,90.0,804.0,401.0,403.0
DENVER COUNTY 1,51.0,98.0,946.0,467.0,478.0
DENVER COUNTY 1,253.0,97.6,1024.0,514.0,510.0
DENVER COUNTY 1,61.0,95.1,773.0,389.0,383.0
DENVER COUNTY 1,95.0,98.9,928.0,451.0,477.0
DENVER COUNTY 1,59.0,100.0,850.0,429.0,421.0
DENVER COUNTY 1,87.0,97.7,866.0,432.0,434.0
DOUGLAS COUNTY RE 1,54.0,94.4,881.0,457.0,424.0
DOUGLAS COUNTY RE 1,486.0,94.0,1044.0,533.0,511.0
DOUGLAS COUNTY RE 1,482.0,97.3,1085.0,543.0,543.0
DOUGLAS COUNTY RE 1,425.0,89.2,1060.0,531.0,529.0
DOUGLAS COUNTY RE 1,64.0,81.3,894.0,458.0,436.0
DOUGLAS COUNTY RE 1,384.0,94.8,1095.0,543.0,552.0
DOUGLAS COUNTY RE 1,128.0,96.1,800.0,413.0,387.0
DOUGLAS COUNTY RE 1,529.0,96.2,1078.0,545.0,533.0
DOUGLAS COUNTY RE 1,120.0,96.7,1216.0,610.0,606.0
DOUGLAS COUNTY RE 1,569.0,95.4,1124.0,559.0,565.0
DOUGLAS COUNTY RE 1,86.0,98.8,1184.0,592.0,592.0
DOUGLAS COUNTY RE 1,339.0,94.7,1047.0,525.0,521.0
DOUGLAS COUNTY RE 1,39.0,87.2,972.0,514.0,457.0
DOUGLAS COUNTY RE 1,550.0,97.1,1155.0,576.0,579.0
DOUGLAS COUNTY RE 1,533.0,94.7,1113.0,554.0,559.0
EAGLE COUNTY RE 50,52.0,78.8,798.0,412.0,386.0
EAGLE COUNTY RE 50,235.0,95.3,992.0,501.0,492.0
EAGLE COUNTY RE 50,221.0,95.5,980.0,499.0,481.0
ELIZABETH SCHOOL DISTRICT,182.0,86.3,1012.0,511.0,500.0
BIG SANDY 100J,22.0,95.5,1010.0,496.0,514.0
